Comment,Designator,Footprint,LCSC,Quantity
56k,R16,R_0402_1005Metric,,1
10k,R15,R_Array_Convex_2x0402,,1
180k,R14,R_0402_1005Metric,,1
1k,R12,R_0402_1005Metric,,1
3.3k,R11,R_0402_1005Metric,,1
10k,R10,R_0402_1005Metric,,1
10k,R7,R_0402_1005Metric,,1
DMG2301L,Q6,SOT-23,,1
DMG2301L,Q5,SOT-23,,1
BC818,Q4,SOT-23,,1
JST_XH_B3B-XH-AM,PWM7,PinHeader_1x03_P2.54mm_Vertical,,1
JST_XH_B3B-XH-AM,PWM6,PinHeader_1x03_P2.54mm_Vertical,,1
JST_XH_B3B-XH-AM,PWM5,PinHeader_1x03_P2.54mm_Vertical,,1
JST_XH_B3B-XH-AM,PWM4,PinHeader_1x03_P2.54mm_Vertical,,1
LED,LED1,LED_0603_1608Metric,,1
10nF,C49,C_0402_1005Metric,,1
100nF,C48,C_0402_1005Metric,,1
100nF,C47,C_0402_1005Metric,,1
100nF,C46,C_0402_1005Metric,,1
100nF,C45,C_0402_1005Metric,,1
100nF,C44,C_0402_1005Metric,,1
10uF,C43,C_0402_1005Metric,,1
220nF,C42,C_0402_1005Metric,,1
10k,R21,R_0402_1005Metric,,1
USBLC6-2SC6,U13,SOT-23-6,,1
